code_postal,tr002_type_batiment_id,annee_construction,surface_habitable,consommation_energie,nom_methode_dpe,tr001_modele_dpe_id,tr006_type_usage_id,description,tr004_type_energie_id,description.1,consommation_energie_finale,annee_DPE,coordonnees,ville
93200,Appartement,2014.0,100.3,49.46,FACTURE - DPE,11,1,Chauffage,3,Gaz,54017.5,2014,"48.9296140653, 2.35920270384",Saint-Denis
92100,Appartement,2013.0,116.03,55.64,TH_C_E,11,1,Chauffage,3,Gaz,2987.65,2013,"48.8364966292, 2.23867632216",Boulogne-Billancourt
92400,Appartement,2014.0,92.67,87.6,FACTURE - DPE,11,1,Chauffage,2,Electricité,210039.7,2015,"48.8983884255, 2.25522376319",Courbevoie
92130,Appartement,2014.0,80.3,43.66,FACTURE - DPE,11,1,Chauffage,4,Autres énergies,74903.1,2014,"48.8232529299, 2.26429719337",Issy-les-Moulineaux
75017,Appartement,2014.0,43.04,45.1,FACTURE - DPE,11,1,Chauffage,4,Autres énergies,176137.0,2015,"48.8872660268, 2.30686780021","Paris 17, Paris"
93400,Appartement,2015.0,104.9,55.56,FACTURE - DPE,11,1,Chauffage,4,Autres énergies,80183.8,2015,"48.9096159679, 2.33315490092",Saint-Ouen
94400,Appartement,2006.0,38.0,197.0,Méthode 3CL,9,1,Chauffage,2,Electricité,1736.33,2014,"48.7885568869, 2.39425728394",Vitry-sur-Seine
91700,Appartement,2015.0,65.37,60.47,FACTURE - DPE,11,1,Chauffage,3,Gaz,114836.0,2015,"48.6398858055, 2.34146847544","Villiers-sur-Orge, Sainte-Geneviève-des-Bois, Fleury-Mérogis"
75019,Appartement,2015.0,68.1,56.19,FACTURE - DPE,11,1,Chauffage,4,Autres énergies,100080.0,2015,"48.8868704923, 2.38465309568","Paris, Paris 19"
93300,Appartement,2014.0,67.87,67.53,FACTURE - DPE,11,1,Chauffage,3,Gaz,66930.0,2014,"48.9126312095, 2.38445065454",Aubervilliers
95000,Appartement,2015.0,61.99,55.87,TH_C_E,11,1,Chauffage,4,Autres énergies,2026.23,2015,"49.0378977963, 2.06061895699","Pontoise, Boisemont, Cergy, Neuville-sur-Oise"
92000,Appartement,2015.0,59.87,57.71,FACTURE - DPE,11,1,Chauffage,3,Gaz,65107.0,2015,"48.8962161446, 2.2068493546",Nanterre
91100,Appartement,2010.0,62.01,211.72,3CL - DPE,1,1,Chauffage,2,Electricité,2644.89,2014,"48.598553411, 2.4642298382","Villabé, Corbeil-Essonnes"
91700,Appartement,2015.0,82.5,53.23,FACTURE - DPE,11,1,Chauffage,3,Gaz,96387.0,2015,"48.6398858055, 2.34146847544","Villiers-sur-Orge, Sainte-Geneviève-des-Bois, Fleury-Mérogis"
92000,Appartement,2015.0,70.92,67.84,TH_C_E,11,1,Chauffage,3,Gaz,2350.32,2015,"48.8962161446, 2.2068493546",Nanterre
75014,Appartement,2001.0,108.72,175.0,Méthode 3CL,1,1,Chauffage,2,Electricité,3808.62,2016,"48.8291473577, 2.32698552913","Paris, Paris 14"
92600,Appartement,2014.0,54.68,55.97,TH_BCE,11,1,Chauffage,3,Gaz,1597.07,2014,"48.915464529, 2.28801082145",Asnières-sur-Seine
75019,Appartement,2014.0,29.0,59.86,FACTURE - DPE,11,1,Chauffage,4,Autres énergies,71545.0,2014,"48.8868704923, 2.38465309568","Paris, Paris 19"
93400,Appartement,2016.0,88.09,0.0,FACTURE - DPE,11,1,Chauffage,3,Gaz,31132.0,2016,"48.9096159679, 2.33315490092",Saint-Ouen
93300,Appartement,2015.0,19.8,72.29,FACTURE - DPE,11,1,Chauffage,3,Gaz,118628.2,2015,"48.9126312095, 2.38445065454",Aubervilliers
91100,Appartement,2015.0,66.31,79.12,FACTURE - DPE,11,1,Chauffage,3,Gaz,104480.0,2015,"48.598553411, 2.4642298382","Villabé, Corbeil-Essonnes"
93100,Appartement,2014.0,60.71,66.05,TH_C_E,11,1,Chauffage,3,Gaz,2336.09,2014,"48.8631150275, 2.44833244212",Montreuil
92100,Appartement,2015.0,44.0,53.65,FACTURE - DPE,11,1,Chauffage,4,Autres énergies,35727.0,2015,"48.8364966292, 2.23867632216",Boulogne-Billancourt
93400,Appartement,2015.0,83.64,58.46,FACTURE - DPE,11,1,Chauffage,4,Autres énergies,125049.0,2015,"48.9096159679, 2.33315490092",Saint-Ouen
91120,Appartement,2016.0,31.1,82.62,FACTURE - DPE,11,1,Chauffage,4,Autres énergies,181142.0,2016,"48.714670201, 2.22882062662",Palaiseau
92130,Appartement,2014.0,45.6,54.78,FACTURE - DPE,11,1,Chauffage,4,Autres énergies,91906.0,2014,"48.8232529299, 2.26429719337",Issy-les-Moulineaux
75019,Appartement,2015.0,18.8,62.36,FACTURE - DPE,11,1,Chauffage,4,Autres énergies,58852.0,2015,"48.8868704923, 2.38465309568","Paris, Paris 19"
94200,Appartement,2014.0,103.1,52.45,FACTURE - DPE,11,1,Chauffage,4,Autres énergies,37475.3,2015,"48.8126036229, 2.38769451134",Ivry-sur-Seine
75007,Appartement,2015.0,18.09,236.15,FACTURE - DPE,11,1,Chauffage,2,Electricité,79640.8,2015,"48.8561051636, 2.31254406306","Paris, Paris 07"
91700,Appartement,2014.0,60.16,55.8,FACTURE - DPE,11,1,Chauffage,3,Gaz,17639.0,2014,"48.6398858055, 2.34146847544","Villiers-sur-Orge, Sainte-Geneviève-des-Bois, Fleury-Mérogis"
94400,Appartement,2015.0,39.5,83.6,FACTURE - DPE,11,1,Chauffage,3,Gaz,90700.0,2015,"48.7885568869, 2.39425728394",Vitry-sur-Seine
93600,Appartement,2012.0,58.73,69.35,TH_C_E,11,1,Chauffage,3,Gaz,2120.27,2014,"48.9461334622, 2.49331125191",Aulnay-sous-Bois
75016,Appartement,2015.0,88.47,62.29,FACTURE - DPE,11,1,Chauffage,4,Autres énergies,37163.5,2015,"48.8603821025, 2.26201220212","Paris, Paris 16"
92400,Appartement,2014.0,38.73,80.8,FACTURE - DPE,11,1,Chauffage,2,Electricité,210039.7,2015,"48.8983884255, 2.25522376319",Courbevoie
95000,Appartement,2005.0,58.01,196.07,TROIS_CL_DPE,1,1,Chauffage,2,Electricité,2989.15,2014,"49.0378977963, 2.06061895699","Pontoise, Boisemont, Cergy, Neuville-sur-Oise"
92400,Appartement,2014.0,86.27,72.67,FACTURE - DPE,11,1,Chauffage,2,Electricité,195354.5,2014,"48.8983884255, 2.25522376319",Courbevoie
93400,Appartement,2016.0,62.32,40.79,FACTURE - DPE,11,1,Chauffage,3,Gaz,31132.0,2016,"48.9096159679, 2.33315490092",Saint-Ouen
93300,Appartement,2015.0,35.4,84.64,FACTURE - DPE,11,1,Chauffage,3,Gaz,118628.2,2015,"48.9126312095, 2.38445065454",Aubervilliers
91700,Appartement,2016.0,46.8,51.73,FACTURE - DPE,11,1,Chauffage,3,Gaz,63783.0,2016,"48.6398858055, 2.34146847544","Villiers-sur-Orge, Sainte-Geneviève-des-Bois, Fleury-Mérogis"
92000,Appartement,2007.0,54.01,162.71,3CL-DPE,9,1,Chauffage,3,Gaz,6682.36,2015,"48.8962161446, 2.2068493546",Nanterre
92130,Appartement,2014.0,64.65,54.58,FACTURE - DPE,11,1,Chauffage,4,Autres énergies,43891.0,2014,"48.8232529299, 2.26429719337",Issy-les-Moulineaux
93400,Appartement,2016.0,82.75,53.02,TH_C_E,11,1,Chauffage,3,Gaz,2128.73,2016,"48.9096159679, 2.33315490092",Saint-Ouen
92120,Appartement,2015.0,60.9,62.08,FACTURE - DPE,11,1,Chauffage,3,Gaz,38082.0,2015,"48.8152695492, 2.31739229511",Montrouge
75018,Appartement,2016.0,79.7,52.35,FACTURE - DPE,11,1,Chauffage,3,Gaz,32204.0,2016,"48.892362855900004, 2.34785432498","Paris, Paris 18"
93400,Appartement,2001.0,38.62,226.0,Méthode 3CL,1,1,Chauffage,2,Electricité,1571.38,2014,"48.9096159679, 2.33315490092",Saint-Ouen
75019,Appartement,2009.0,70.9,196.0,Méthode 3CL,9,1,Chauffage,2,Electricité,2833.09,2014,"48.8868704923, 2.38465309568","Paris, Paris 19"
93200,Appartement,2016.0,90.12,58.18,FACTURE - DPE,11,1,Chauffage,4,Autres énergies,41282.0,2016,"48.9296140653, 2.35920270384",Saint-Denis
91700,Appartement,2015.0,68.22,81.38,FACTURE - DPE,11,1,Chauffage,3,Gaz,96387.0,2015,"48.6398858055, 2.34146847544","Villiers-sur-Orge, Sainte-Geneviève-des-Bois, Fleury-Mérogis"
93400,Appartement,2015.0,48.74,71.38,FACTURE - DPE,11,1,Chauffage,4,Autres énergies,140466.0,2015,"48.9096159679, 2.33315490092",Saint-Ouen
